su,bl,type,tr,let,num,rilet,vac,vse,rt,acc,respSE,respRT,statAC,statSE,statRT,stratac,strat,stratrt,item
1,1,3,1,0,7,7,0,0,3824,1,7,0,0,1,76,0,0,0,1
1,1,3,2,6,7,13,0,0,4391,1,13,0,0,1,166,0,0,0,7
1,1,3,3,4,7,11,0,0,4301,1,11,0,0,1,107,0,0,0,5
1,1,3,4,7,9,16,0,0,7364,1,16,0,0,1,1466,1,1,8225,8
1,1,3,5,9,9,18,0,0,5948,1,18,0,0,1,146,1,1,1752,10
1,1,3,6,2,7,9,0,0,4187,1,9,0,0,1,175,0,0,0,3
1,1,3,7,3,9,12,0,0,5255,1,12,0,0,1,112,1,1,1251,4
1,1,3,8,8,7,15,0,0,3780,1,15,0,0,1,108,0,0,0,9
1,1,3,9,1,9,10,0,0,4795,1,10,0,0,1,119,1,1,1122,2
1,1,3,10,5,9,14,0,0,4926,1,14,0,0,1,127,1,1,1190,6
1,2,3,1,8,7,15,0,0,4185,1,15,0,0,1,136,1,1,1339,9
1,2,3,2,4,7,11,0,0,3608,1,11,0,0,1,118,1,1,1025,5
1,2,3,3,0,7,7,0,0,3100,1,7,0,0,1,109,1,1,1082,1
1,2,3,4,1,9,10,0,0,4675,1,10,0,0,1,102,0,0,0,2
1,2,3,5,3,9,12,0,0,2914,1,12,0,0,1,109,0,0,0,4
1,2,3,6,6,7,13,0,0,4143,1,13,0,0,1,61,1,1,1123,7
1,2,3,7,5,9,14,0,0,8807,1,14,0,0,1,87,0,0,0,6
1,2,3,8,9,9,18,0,0,5258,1,18,0,0,1,136,0,0,0,10
1,2,3,9,7,9,16,0,0,5575,0,15,0,0,1,125,0,0,0,8
1,2,3,10,2,7,9,0,0,5613,1,9,0,0,1,117,1,1,1250,3
1,3,3,1,2,7,9,0,0,3928,1,9,0,0,1,160,0,0,0,3
1,3,3,2,6,7,13,0,0,4040,1,13,0,0,1,89,0,0,0,7
1,3,3,3,0,7,7,0,0,7042,1,7,0,0,1,143,0,0,0,1
1,3,3,4,7,9,16,0,0,5191,1,16,0,0,1,122,1,1,1724,8
1,3,3,5,4,7,11,0,0,4302,1,11,0,0,1,122,0,0,0,5
1,3,3,6,3,9,12,0,0,4485,1,12,0,0,1,149,1,1,1227,4
1,3,3,7,9,9,18,0,0,4790,0,15,0,0,1,123,1,1,2364,10
1,3,3,8,8,7,15,0,0,4070,1,15,0,0,1,81,0,0,0,9
1,3,3,9,5,9,14,0,0,5381,1,14,0,0,1,115,1,1,1333,6
1,3,3,10,1,9,10,0,0,4366,1,10,0,0,1,120,1,1,1148,2
1,4,3,1,8,7,15,0,0,3336,1,15,0,0,1,132,1,1,939,9
1,4,3,2,6,7,13,0,0,3568,1,13,0,0,1,157,1,2,983,7
1,4,3,3,1,9,10,0,0,4760,1,10,0,0,1,147,0,0,0,2
1,4,3,4,2,7,9,0,0,3553,1,9,0,0,1,150,1,1,1179,3
1,4,3,5,4,7,11,0,0,4889,1,11,0,0,1,107,1,1,990,5
1,4,3,6,0,7,7,0,0,4830,1,7,0,0,1,121,1,1,1115,1
1,4,3,7,3,9,12,0,0,4675,1,12,0,0,1,111,0,0,0,4
1,4,3,8,9,9,18,0,0,6651,1,18,0,0,1,128,0,0,0,10
1,4,3,9,5,9,14,0,0,6668,1,14,0,0,1,120,0,0,0,6
1,4,3,10,7,9,16,0,0,5045,1,16,0,0,1,111,0,0,0,8
1,5,3,1,3,9,12,0,0,4425,0,10,0,0,1,173,1,1,1215,4
1,5,3,2,0,7,7,0,0,1341,1,7,0,0,1,113,0,0,0,1
1,5,3,3,7,9,16,0,0,4946,1,16,0,0,1,196,1,1,1383,8
1,5,3,4,9,9,18,0,0,5414,1,18,0,0,1,144,1,1,1131,10
1,5,3,5,4,7,11,0,0,4630,1,11,0,0,1,136,0,0,0,5
1,5,3,6,6,7,13,0,0,5920,1,13,0,0,1,121,0,0,0,7
1,5,3,7,2,7,9,0,0,3332,1,9,0,0,1,115,0,0,0,3
1,5,3,8,5,9,14,0,0,2596,1,14,0,0,1,106,1,2,1332,6
1,5,3,9,8,7,15,0,0,3698,1,15,0,0,1,91,0,0,0,9
1,5,3,10,1,9,10,0,0,4396,1,10,0,0,1,93,1,1,1267,2
1,6,3,1,7,9,16,0,0,1167,0,13,0,0,1,102,0,0,0,8
1,6,3,2,6,7,13,0,0,1444,1,13,0,0,1,120,1,2,1473,7
1,6,3,3,1,9,10,0,0,4111,1,10,0,0,1,84,0,0,0,2
1,6,3,4,9,9,18,0,0,5845,1,18,0,0,1,87,0,0,0,10
1,6,3,5,2,7,9,0,0,4559,1,9,0,0,1,110,1,1,1527,3
1,6,3,6,0,7,7,0,0,2317,1,7,0,0,1,105,1,2,1234,1
1,6,3,7,4,7,11,0,0,2718,1,11,0,0,1,86,1,2,1299,5
1,6,3,8,3,9,12,0,0,5116,0,13,0,0,1,133,0,0,0,4
1,6,3,9,5,9,14,0,0,2036,1,14,0,0,1,65,0,0,0,6
1,6,3,10,8,7,15,0,0,4457,1,15,0,0,1,105,1,1,1357,9
