su,bl,item,RT,itype,first,strat,bl_r
44,1,20,6882,1,2,1,0
44,2,20,1400,1,2,2,1
44,3,20,1404,1,2,2,2
44,4,20,1290,1,2,2,3
44,5,20,1104,1,2,2,4
44,6,20,989,1,2,2,5
44,8,20,967,1,2,2,7
44,9,20,650,1,2,2,8
44,10,20,888,1,2,2,9
44,11,20,766,1,2,2,10
44,12,20,668,1,2,2,11
44,13,20,805,1,2,2,12
44,14,20,603,1,2,2,13
44,16,20,827,1,2,2,15
44,17,20,814,1,2,2,16
44,18,20,863,1,2,2,17
44,19,20,771,1,2,2,18
44,20,20,751,1,2,2,19
44,21,20,720,1,2,2,20
44,22,20,963,1,2,2,21
44,23,20,1064,1,2,2,22
44,24,20,729,1,2,2,23
44,25,20,803,1,2,2,24
44,26,20,878,1,2,2,25
44,27,20,894,1,2,2,26
44,29,20,930,1,2,2,28
44,30,20,717,1,2,2,29
44,31,20,745,1,2,2,30
44,32,20,669,1,2,2,31
44,33,20,635,1,2,2,32
44,34,20,706,1,2,2,33
44,1,21,5991,2,17,1,-15
44,2,21,6077,2,17,1,-14
44,3,21,6262,2,17,1,-13
44,4,21,6642,2,17,1,-12
44,6,21,6539,2,17,1,-10
44,7,21,6186,2,17,1,-9
44,8,21,6719,2,17,1,-8
44,10,21,6702,2,17,1,-6
44,11,21,6452,2,17,1,-5
44,13,21,6295,2,17,1,-3
44,14,21,5873,2,17,1,-2
44,16,21,6264,2,17,1,0
44,17,21,2036,2,17,2,1
44,18,21,4063,2,17,2,2
44,19,21,6138,2,17,1,3
44,20,21,1622,2,17,2,4
44,21,21,7486,2,17,1,5
44,22,21,2732,2,17,2,6
44,24,21,1317,2,17,2,8
44,25,21,1523,2,17,2,9
44,26,21,1067,2,17,2,10
44,27,21,6483,2,17,2,11
44,28,21,2552,2,17,2,12
44,29,21,1798,2,17,2,13
44,30,21,1848,2,17,2,14
44,31,21,1038,2,17,2,15
44,33,21,1519,2,17,2,17
44,34,21,1740,2,17,2,18
44,1,22,5039,2,9,1,-7
44,2,22,3983,2,9,1,-6
44,3,22,4359,2,9,1,-5
44,4,22,5001,2,9,1,-4
44,5,22,4390,2,9,1,-3
44,6,22,4504,2,9,1,-2
44,7,22,4544,2,9,1,-1
44,8,22,4793,2,9,1,0
44,9,22,1528,2,9,2,1
44,10,22,572,2,9,2,2
44,11,22,2627,2,9,2,3
44,12,22,5021,2,9,1,4
44,13,22,2873,2,9,2,5
44,14,22,1223,2,9,2,6
44,15,22,1106,2,9,2,7
44,16,22,914,2,9,2,8
44,17,22,3399,2,9,2,9
44,18,22,1339,2,9,2,10
44,19,22,2263,2,9,2,11
44,20,22,1497,2,9,2,12
44,21,22,818,2,9,2,13
44,22,22,1141,2,9,2,14
44,23,22,1232,2,9,2,15
44,24,22,984,2,9,2,16
44,25,22,868,2,9,2,17
44,26,22,1272,2,9,2,18
44,27,22,1280,2,9,2,19
44,28,22,819,2,9,2,20
44,29,22,1048,2,9,2,21
44,30,22,1626,2,9,2,22
44,31,22,1172,2,9,2,23
44,32,22,761,2,9,2,24
44,33,22,811,2,9,2,25
44,34,22,1048,2,9,2,26
44,1,23,5206,2,21,1,-19
44,2,23,4881,2,21,1,-18
44,4,23,5265,2,21,1,-16
44,5,23,5420,2,21,1,-15
44,6,23,5673,2,21,1,-14
44,7,23,6092,2,21,1,-13
44,8,23,6429,2,21,1,-12
44,9,23,5570,2,21,1,-11
44,10,23,5497,2,21,1,-10
44,11,23,5958,2,21,1,-9
44,12,23,5394,2,21,1,-8
44,13,23,5734,2,21,1,-7
44,14,23,5470,2,21,1,-6
44,15,23,5527,2,21,1,-5
44,16,23,5443,2,21,1,-4
44,17,23,5763,2,21,1,-3
44,20,23,5747,2,21,1,0
44,21,23,3488,2,21,2,1
44,22,23,5882,2,21,1,2
44,23,23,2082,2,21,2,3
44,24,23,3108,2,21,2,4
44,25,23,1791,2,21,2,5
44,26,23,5227,2,21,2,6
44,29,23,2693,2,21,2,9
44,31,23,6358,2,21,2,11
44,32,23,1830,2,21,2,12
44,33,23,2269,2,21,2,13
44,34,23,2766,2,21,2,14
44,1,24,4673,2,23,1,-21
44,2,24,4583,2,23,1,-20
44,3,24,4511,2,23,1,-19
44,5,24,4958,2,23,1,-17
44,7,24,4084,2,23,1,-15
44,8,24,4350,2,23,1,-14
44,10,24,4797,2,23,1,-12
44,11,24,4235,2,23,1,-11
44,12,24,4306,2,23,1,-10
44,13,24,4227,2,23,1,-9
44,14,24,4236,2,23,1,-8
44,17,24,4294,2,23,1,-5
44,18,24,4329,2,23,1,-4
44,19,24,4602,2,23,1,-3
44,20,24,4425,2,23,1,-2
44,21,24,4532,2,23,1,-1
44,22,24,5587,2,23,1,0
44,23,24,4171,2,23,2,1
44,26,24,1426,2,23,2,4
44,27,24,2202,2,23,2,5
44,28,24,5856,2,23,1,6
44,29,24,2023,2,23,2,7
44,30,24,2001,2,23,2,8
44,31,24,1710,2,23,2,9
44,33,24,1204,2,23,2,11
44,34,24,1247,2,23,2,12
44,1,25,5614,2,19,1,-17
44,2,25,5377,2,19,1,-16
44,3,25,5877,2,19,1,-15
44,4,25,5578,2,19,1,-14
44,6,25,5621,2,19,1,-12
44,7,25,5526,2,19,1,-11
44,10,25,5698,2,19,1,-8
44,11,25,5536,2,19,1,-7
44,13,25,5751,2,19,1,-5
44,14,25,5268,2,19,1,-4
44,16,25,5331,2,19,1,-2
44,19,25,1438,2,19,2,1
44,20,25,1002,2,19,2,2
44,21,25,5451,2,19,1,3
44,22,25,4966,2,19,2,4
44,24,25,3448,2,19,2,6
44,25,25,1238,2,19,2,7
44,26,25,5994,2,19,2,8
44,28,25,2086,2,19,2,10
44,29,25,2352,2,19,2,11
44,30,25,5008,2,19,2,12
44,31,25,2882,2,19,2,13
44,32,25,1385,2,19,2,14
44,33,25,1369,2,19,2,15
44,34,25,1047,2,19,2,16
44,1,26,6348,2,4,1,-2
44,2,26,6524,2,4,1,-1
44,3,26,7305,2,4,1,0
44,4,26,3821,2,4,2,1
44,5,26,6098,2,4,1,2
44,6,26,6674,2,4,1,3
